epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1783,1.40088,2.70029,1.39513,0.01409,0.26947,0.00917,0.00526,1.84376,inf,2.27975,0.00024543,0.00024543,0.00024543
2,31.6432,1.42793,1.79777,1.4135,0.11571,0.18361,0.0861,0.04734,1.94767,inf,3.53297,0.000495,0.000495,0.000495
3,47.9033,1.45427,1.70749,1.4517,0.08028,0.26775,0.03024,0.01527,1.97575,inf,2.57976,0.000739531,0.000739531,0.000739531
4,58.5599,1.48926,1.77314,1.48018,0.42362,0.2334,0.11627,0.05848,1.93255,9.1641,2.0381,0.000882003,0.000882003,0.000882003
5,70.3768,1.48963,1.61872,1.46623,0.33293,0.23936,0.1492,0.07179,1.94949,4.38292,1.96881,0.000873004,0.000873004,0.000873004
6,82.0377,1.46353,1.54532,1.46389,0.33391,0.41421,0.34083,0.18811,1.76932,4.33795,1.90583,0.000864004,0.000864004,0.000864004
7,94.5003,1.4184,1.43439,1.43144,0.30701,0.42674,0.30224,0.15061,1.75973,2.30425,1.9335,0.000855005,0.000855005,0.000855005
8,107.619,1.43701,1.34874,1.45359,0.42052,0.35599,0.35574,0.19072,1.77052,2.00448,1.84215,0.000846006,0.000846006,0.000846006
9,119.947,1.41843,1.32007,1.41802,0.53666,0.40083,0.40489,0.21816,1.70997,1.84215,1.78011,0.000837007,0.000837007,0.000837007
10,132.584,1.38637,1.26122,1.39666,0.51723,0.4176,0.45068,0.24246,1.70102,1.90755,1.7529,0.000828008,0.000828008,0.000828008
11,144.539,1.34127,1.22458,1.38109,0.67778,0.48427,0.49424,0.28816,1.60131,1.63565,1.72648,0.000819009,0.000819009,0.000819009
12,157.216,1.3167,1.18998,1.35565,0.596,0.45534,0.50613,0.27405,1.63016,1.84665,1.72597,0.00081001,0.00081001,0.00081001
13,170.05,1.30965,1.07545,1.35444,0.56111,0.49028,0.4948,0.27555,1.61974,1.62361,1.70189,0.000801011,0.000801011,0.000801011
14,185.26,1.30851,1.10071,1.35033,0.47626,0.45116,0.45185,0.25882,1.62783,1.72562,1.73572,0.000792012,0.000792012,0.000792012
15,195.754,1.24595,1.01314,1.29206,0.71962,0.50537,0.58358,0.33198,1.57701,1.41771,1.71543,0.000783013,0.000783013,0.000783013
16,207.118,1.25175,1.01246,1.33488,0.64071,0.51957,0.52811,0.29226,1.64549,1.57128,1.75923,0.000774013,0.000774013,0.000774013
17,217.834,1.16642,0.96897,1.29091,0.6814,0.59344,0.6249,0.36081,1.6005,1.33011,1.72612,0.000765014,0.000765014,0.000765014
18,229.12,1.25163,0.97997,1.30235,0.74039,0.46839,0.54888,0.31801,1.5734,1.53978,1.67632,0.000756015,0.000756015,0.000756015
19,239.474,1.18802,0.90186,1.27938,0.57324,0.51258,0.51689,0.29794,1.58399,1.59963,1.67203,0.000747016,0.000747016,0.000747016
20,250.001,1.1703,0.88741,1.26019,0.77169,0.56266,0.63113,0.36671,1.56051,1.39044,1.70572,0.000738017,0.000738017,0.000738017
21,261.245,1.17149,0.92931,1.28383,0.73379,0.58531,0.63111,0.37241,1.5865,1.31276,1.70382,0.000729018,0.000729018,0.000729018
22,272.466,1.14437,0.846,1.25903,0.64214,0.59918,0.61466,0.35954,1.55773,1.20801,1.67118,0.000720019,0.000720019,0.000720019
23,282.919,1.14991,0.84027,1.28073,0.67752,0.52413,0.57626,0.32464,1.57642,1.46107,1.68477,0.00071102,0.00071102,0.00071102
24,293.215,1.12672,0.80871,1.25173,0.75755,0.54877,0.64627,0.37681,1.57272,1.28838,1.68464,0.000702021,0.000702021,0.000702021
25,304.342,1.13962,0.83017,1.24998,0.74258,0.5359,0.63051,0.36438,1.57208,1.29075,1.66541,0.000693022,0.000693022,0.000693022
26,314.87,1.12708,0.80706,1.2615,0.74626,0.52813,0.64733,0.36877,1.59152,1.26834,1.69275,0.000684022,0.000684022,0.000684022
27,325.429,1.0956,0.76561,1.22198,0.72957,0.5854,0.66131,0.38607,1.55572,1.26603,1.71194,0.000675023,0.000675023,0.000675023
28,337.128,1.08491,0.73874,1.22031,0.8328,0.56198,0.67528,0.40133,1.54933,1.15489,1.65491,0.000666024,0.000666024,0.000666024
29,348.649,1.08768,0.75407,1.22823,0.64262,0.60481,0.60956,0.34927,1.56368,1.38048,1.68028,0.000657025,0.000657025,0.000657025
30,360.534,1.06511,0.7395,1.19968,0.76071,0.57474,0.65071,0.39009,1.55912,1.21786,1.72229,0.000648026,0.000648026,0.000648026
31,370.854,1.04713,0.71911,1.20152,0.65833,0.63212,0.64616,0.36926,1.58975,1.20915,1.69722,0.000639027,0.000639027,0.000639027
32,381.27,1.03748,0.72146,1.18311,0.73374,0.64863,0.70393,0.41878,1.51448,1.09139,1.64211,0.000630028,0.000630028,0.000630028
33,393.252,1.01469,0.68335,1.18321,0.7309,0.62237,0.6766,0.39649,1.56259,1.19786,1.67578,0.000621029,0.000621029,0.000621029
34,410.161,1.0298,0.68632,1.16682,0.73358,0.56548,0.64573,0.37941,1.55366,1.274,1.68627,0.00061203,0.00061203,0.00061203
35,429.586,1.0176,0.65274,1.16952,0.72162,0.61631,0.6839,0.39442,1.58696,1.16994,1.70679,0.000603031,0.000603031,0.000603031
36,440.937,0.99576,0.6485,1.17298,0.74593,0.60784,0.65536,0.38716,1.55238,1.30065,1.67653,0.000594031,0.000594031,0.000594031
37,452.448,0.98787,0.64617,1.15594,0.73333,0.66534,0.71713,0.42613,1.53725,1.1386,1.66598,0.000585032,0.000585032,0.000585032
38,466.246,0.98801,0.63345,1.16788,0.73194,0.69273,0.72735,0.4367,1.5615,1.07812,1.66533,0.000576033,0.000576033,0.000576033
39,485.199,0.9551,0.60252,1.14356,0.74058,0.6307,0.68324,0.40068,1.53739,1.18701,1.66181,0.000567034,0.000567034,0.000567034
40,498.121,0.94791,0.61011,1.13373,0.79448,0.65223,0.71914,0.42711,1.52054,1.12198,1.64514,0.000558035,0.000558035,0.000558035
41,508.426,0.92897,0.60396,1.12366,0.74975,0.65554,0.70035,0.41732,1.53929,1.17089,1.64562,0.000549036,0.000549036,0.000549036
42,522.318,0.91281,0.58373,1.1071,0.74509,0.60595,0.65554,0.39131,1.55866,1.28087,1.67114,0.000540037,0.000540037,0.000540037
43,532.973,0.91975,0.58674,1.11384,0.66692,0.62745,0.64588,0.38136,1.56847,1.32164,1.6963,0.000531038,0.000531038,0.000531038
44,547.314,0.9313,0.58803,1.1261,0.74959,0.67843,0.71488,0.43363,1.51831,1.13055,1.68895,0.000522039,0.000522039,0.000522039
45,565.582,0.89016,0.56081,1.09381,0.78025,0.63345,0.7105,0.42676,1.55253,1.21973,1.72614,0.00051304,0.00051304,0.00051304
46,590.068,0.86999,0.55405,1.10234,0.71426,0.6762,0.70894,0.42106,1.53793,1.10564,1.75722,0.00050404,0.00050404,0.00050404
47,614.821,0.85245,0.54435,1.08572,0.71068,0.68628,0.71082,0.42277,1.53404,1.04475,1.71135,0.000495041,0.000495041,0.000495041
48,643.952,0.84433,0.5317,1.07897,0.77637,0.6876,0.7236,0.42247,1.54062,1.03846,1.73382,0.000486042,0.000486042,0.000486042
